FrameId,Id,X,Y,Width,Height,Confidence,Class
53,1,544.054382,342.421570,242.078491,243.398132,0.497396,0
53,2,493.102783,658.247314,256.789734,231.559875,0.188810,0
54,1,543.725830,355.733002,265.538025,252.747894,0.630257,0
54,2,494.169678,661.343750,245.375732,229.231079,0.519967,0
55,1,539.484375,358.124878,267.149658,234.706909,0.674984,0
55,2,494.492401,657.140381,240.521515,232.909241,0.523613,0
56,1,537.148376,374.700134,252.333801,216.477051,0.699196,0
56,2,495.423706,662.238159,236.085449,228.345398,0.479679,0
57,1,544.867310,383.159119,272.406616,222.008484,0.708278,0
57,2,493.509491,654.106323,239.479828,233.129272,0.582466,0
58,1,548.910400,390.977966,276.875854,223.589050,0.742575,0
58,2,493.326355,653.893616,240.506653,233.058289,0.449329,0
59,1,607.566284,400.467957,235.326233,207.128845,0.655516,0
59,2,495.126495,654.535278,242.067963,238.975525,0.319684,0
60,1,609.003296,392.573029,243.891846,210.360260,0.636583,0
60,2,500.502106,660.620483,252.204620,235.274597,0.141758,0
61,1,596.935364,390.954163,253.451599,221.434021,0.650706,0
61,2,498.406219,662.815186,259.705292,234.722290,0.396102,0
62,1,597.352478,391.984650,249.714294,221.065460,0.702524,0
62,2,505.372711,668.626953,256.174774,227.062256,0.538527,0
63,1,583.144104,389.372223,264.851257,223.818695,0.615806,0
63,2,519.192017,675.351746,235.585144,218.427246,0.472801,0
64,1,581.427734,389.466461,264.046814,223.732025,0.679815,0
64,2,509.050354,671.488403,244.476501,220.251160,0.520756,0
65,1,560.620056,385.762909,274.938538,230.232330,0.710860,0
65,2,524.572815,676.179199,227.340271,214.162476,0.469891,0
66,1,552.771667,387.459259,275.224365,227.793610,0.755631,0
66,2,520.002808,670.157227,236.550110,219.041260,0.444969,0
67,1,557.448608,390.581360,271.157715,223.338074,0.690576,0
67,2,528.913147,677.377991,227.253723,213.397583,0.365066,0
68,1,551.252869,393.387726,273.500732,220.076691,0.732684,0
68,2,522.035522,668.999695,232.411377,219.486572,0.433296,0
69,1,552.804016,383.213806,275.005981,229.373352,0.708359,0
69,2,512.835632,660.602417,234.009827,226.250427,0.655119,0
70,1,549.992615,386.004150,271.813232,228.791565,0.750995,0
70,2,509.467438,658.164612,236.314667,228.855286,0.681641,0
71,1,548.848572,385.152100,275.183777,228.594238,0.716747,0
71,2,514.602783,658.743225,230.798706,228.137268,0.649537,0
72,1,546.198303,385.319794,278.369995,232.227875,0.751198,0
72,2,518.439270,658.606201,226.623901,229.298767,0.490909,0
73,1,536.325195,384.422089,280.713562,230.641571,0.738435,0
73,2,518.104309,657.733398,228.678040,229.492859,0.669831,0
74,1,544.213745,389.611877,280.987610,233.135437,0.673829,0
74,2,519.949158,662.045959,221.254456,225.221313,0.694759,0
75,1,552.642395,390.194641,275.868774,229.739685,0.736591,0
75,2,522.088867,666.471191,214.015686,218.247009,0.673310,0
76,1,567.330383,393.448669,262.748901,223.117737,0.659136,0
76,2,521.750854,667.290344,211.877441,219.610352,0.530601,0
77,1,562.704407,402.112915,265.184021,219.870422,0.720064,0
77,2,512.878296,662.041138,221.932068,226.522278,0.527312,0
78,1,569.060608,409.751221,256.832031,216.562805,0.759464,0
78,2,514.290039,666.237244,221.215698,221.500366,0.676669,0
79,1,587.824890,415.846191,239.472412,211.570435,0.765011,0
79,2,510.644775,665.476807,229.536316,225.581482,0.606919,0
80,1,585.252136,423.525421,242.884460,211.034576,0.769361,0
80,2,509.007721,659.978821,231.289642,228.142944,0.668316,0
81,1,606.130920,421.481262,221.337463,216.094666,0.754452,0
81,2,507.360504,657.470947,232.121613,227.856140,0.694579,0
82,1,608.303772,420.954590,216.240356,219.809509,0.756772,0
82,2,508.438141,662.249207,227.293427,222.007812,0.676717,0
83,1,609.202271,424.172119,212.809143,215.584595,0.789589,0
83,2,503.110596,655.559814,238.093323,232.717773,0.449821,0
84,1,605.266296,423.544281,222.012024,218.280243,0.806747,0
84,2,508.672058,652.905579,238.807129,233.826416,0.691308,0
85,1,607.543213,424.833405,215.921692,216.410736,0.779161,0
85,2,509.621582,660.491150,236.777771,226.594299,0.739634,0
86,1,602.853394,427.755951,223.052734,213.430695,0.794574,0
86,2,510.789795,655.473877,237.606323,231.935730,0.663705,0
87,1,603.273499,427.932251,224.801514,214.128723,0.789115,0
87,2,532.512573,664.462097,213.472839,222.206726,0.511045,0
88,1,601.344727,425.911591,227.872009,214.878510,0.790246,0
88,2,519.736023,666.067322,230.808533,222.962280,0.393222,0
89,1,592.602783,425.714996,237.126099,213.470551,0.785588,0
89,2,516.741211,668.053894,236.915405,223.947266,0.664177,0
90,1,585.682495,425.434113,244.357117,212.685516,0.774932,0
90,2,518.752441,668.872864,238.003723,226.723083,0.676842,0
91,1,574.580505,421.026611,255.417969,221.796814,0.785730,0
91,2,506.825287,665.307068,251.956879,231.512329,0.573966,0
