FrameId,Id,X,Y,Width,Height,Confidence,Class
83,8,512.116577,380.340851,162.505371,182.724213,0.424706,0
84,4,601.587769,421.821594,228.351501,219.912476,0.806747,0
84,2,512.352722,651.757568,238.508606,233.911011,0.691308,0
85,4,606.947815,424.640259,214.315247,215.630981,0.779161,0
85,2,510.078674,665.459229,235.322632,222.381775,0.739634,0
85,8,518.369446,380.641571,156.130554,189.306122,0.546853,0
86,4,599.274536,428.221191,227.931396,212.097534,0.794574,0
86,2,511.610901,653.066772,237.631287,234.550110,0.663705,0
86,8,518.266602,381.503601,160.096069,186.378113,0.388356,0
87,4,602.306946,426.823181,226.574646,214.890381,0.789115,0
87,2,543.640015,669.437378,200.462341,216.825073,0.511045,0
87,8,520.336487,383.897491,157.538147,183.000275,0.456759,0
88,4,599.461487,423.967346,230.156738,215.547241,0.790246,0
88,2,512.931458,666.791199,239.553894,223.579773,0.393222,0
88,8,513.913025,381.036560,157.635620,181.981323,0.360213,0
89,4,587.365906,424.953094,242.355225,213.009369,0.785588,0
89,2,514.812195,668.952515,240.012268,224.678101,0.664177,0
90,4,581.863831,424.567963,248.066345,212.545074,0.774932,0
90,2,519.804260,668.881165,238.000366,228.240540,0.676842,0
91,4,568.747009,418.289185,260.903320,226.681458,0.785730,0
91,2,500.350372,663.221680,258.771942,233.906616,0.573966,0
92,4,589.413879,420.067322,241.604492,227.565857,0.772916,0
92,2,504.903107,659.645081,247.957001,237.805664,0.607902,0
93,4,590.009766,419.142975,241.684692,228.280670,0.777070,0
93,2,507.738159,657.098206,242.768616,235.296814,0.604821,0
93,8,515.700439,378.319092,154.140137,176.584229,0.352350,0
94,4,585.841675,418.082733,245.254517,229.549042,0.789011,0
94,2,524.220093,669.706787,229.265137,226.021484,0.479003,0
95,4,592.084351,419.448608,239.796204,227.457153,0.775648,0
95,2,520.022095,668.029602,233.642395,227.102112,0.508774,0
95,8,512.626953,381.346558,150.552673,168.423584,0.404440,0
96,4,600.221130,426.705200,234.228821,223.320496,0.751790,0
96,2,541.307922,673.112976,210.533081,220.515625,0.305044,0
97,4,600.125000,419.062439,231.792969,226.075073,0.758367,0
97,2,532.859802,657.608582,214.766785,230.935791,0.624044,0
98,4,606.893127,421.786346,221.409119,224.125519,0.740937,0
98,2,546.899170,677.621582,191.371948,209.607910,0.578777,0
98,8,509.455200,375.821960,165.033569,182.802185,0.280684,0
99,4,601.737671,426.257172,224.471313,220.507538,0.791849,0
99,2,537.798340,675.203491,199.726807,211.041626,0.630828,0
100,4,604.826172,422.966980,222.464111,223.118652,0.797417,0
100,2,533.928711,666.091431,214.159790,218.878723,0.608574,0
100,8,514.502808,376.291626,151.251221,168.807129,0.321073,0
101,4,545.741760,421.534424,275.552429,227.584229,0.791470,0
101,2,532.239929,669.385437,210.983398,214.719788,0.629190,0
101,7,821.701660,749.399231,123.244080,125.731384,0.445560,0
102,4,546.688843,421.852264,272.300598,226.952423,0.788124,0
102,2,535.748535,675.438904,212.544800,209.455322,0.669168,0
102,8,501.326660,369.054047,170.996948,178.580292,0.307306,0
102,7,820.651367,748.079834,125.065613,131.262146,0.267318,0
103,4,546.211853,421.347595,274.186035,226.798340,0.775164,0
103,2,536.605347,657.643372,206.419373,225.851624,0.665662,0
104,4,546.560181,418.483643,275.570068,231.985657,0.751648,0
104,2,544.104126,672.533997,201.702576,212.241577,0.681282,0
105,4,566.302185,422.556427,266.500305,235.973358,0.709684,0
105,2,528.295898,669.182556,220.554626,219.967957,0.615739,0
106,4,547.523987,413.465942,274.799377,240.585144,0.697520,0
106,2,533.194092,665.636108,218.776550,221.009766,0.621525,0
107,4,545.728882,419.032013,272.007141,236.746552,0.703171,0
107,2,525.424988,674.826294,222.984314,214.307007,0.671941,0
108,4,546.215942,419.699707,271.503906,233.913635,0.726923,0
108,2,517.286987,674.081116,232.617126,217.076965,0.689298,0
109,4,548.630920,422.014587,274.104431,228.945984,0.749743,0
109,2,513.326416,670.281494,232.712158,220.654114,0.684805,0
110,4,549.984192,426.216034,272.111145,225.249054,0.763556,0
110,2,514.021606,666.350891,237.854248,223.377319,0.688479,0
111,4,565.236572,430.797546,270.207336,226.685303,0.739435,0
111,2,512.494507,659.608154,242.499817,232.827515,0.626926,0
112,4,566.622742,428.864227,269.325195,227.193329,0.748680,0
112,2,526.111938,674.395752,225.327759,215.724243,0.696968,0
113,4,550.467834,423.409302,272.714600,225.646545,0.754629,0
113,2,523.007141,674.140015,226.532349,215.066162,0.687637,0
114,4,547.104370,420.832611,274.835327,226.136627,0.783260,0
114,2,522.829956,676.647522,223.020325,214.245483,0.711604,0
115,4,547.475342,416.132660,275.850403,229.442535,0.796226,0
115,2,521.776001,674.095581,221.418457,215.191406,0.700801,0
116,4,546.989563,416.078613,277.107056,227.984558,0.801255,0
116,2,515.528442,674.129028,234.703491,217.600342,0.710013,0
117,4,548.682007,415.500244,275.088440,225.983948,0.809405,0
117,2,524.052917,676.335266,227.593872,222.081482,0.712231,0
